@RELATION turismo_cartagena_sin_planea_regresar

@ATTRIBUTE Lugar_Origen {'Internacional','Nacional'}
@ATTRIBUTE Edad NUMERIC
@ATTRIBUTE Tiempo_Estancia NUMERIC
@ATTRIBUTE Presupuesto_Promedio NUMERIC
@ATTRIBUTE Motivo_Viaje {'Negocios','Otro','Vacaciones'}
@ATTRIBUTE Uso_Tour_Guiado {'No','Si'}
@ATTRIBUTE Satisfaccion_Visita {'Alta','Baja','Media'}
@ATTRIBUTE Nivel_Gasto_Total NUMERIC
@ATTRIBUTE Cantidad_Actividades NUMERIC
@ATTRIBUTE Recomendar_Cartagena {'No','Si'}

@DATA
Nacional,55.0,4.0,117.0,Vacaciones,Si,Alta,468.0,5.0,Si
Nacional,56.0,3.0,144.0,Vacaciones,Si,Baja,432.0,3.0,Si
Nacional,56.0,2.0,113.0,Vacaciones,No,Baja,226.0,4.0,No
Internacional,52.0,8.0,199.0,Vacaciones,Si,Baja,1592.0,6.0,Si
Nacional,43.0,2.0,143.0,Vacaciones,Si,Media,286.0,3.0,No
Internacional,33.0,7.0,166.0,Negocios,No,Alta,1162.0,4.0,Si
Internacional,57.0,5.0,153.0,Vacaciones,Si,Baja,765.0,7.0,Si
Internacional,37.0,7.0,182.0,Vacaciones,Si,Alta,1274.0,5.0,Si
Nacional,57.0,5.0,140.0,Negocios,Si,Baja,700.0,5.0,No
Nacional,25.0,4.0,110.0,Vacaciones,Si,Baja,440.0,9.0,Si
Nacional,33.0,5.0,117.0,Vacaciones,Si,Alta,585.0,7.0,Si
Internacional,53.0,7.0,231.0,Vacaciones,Si,Media,1617.0,5.0,No
Nacional,31.0,6.0,112.0,Vacaciones,Si,Alta,672.0,3.0,Si
Internacional,50.0,5.0,173.0,Vacaciones,Si,Alta,865.0,7.0,Si
Internacional,32.0,6.0,181.0,Otro,Si,Media,1086.0,6.0,No
Nacional,53.0,3.0,117.0,Vacaciones,Si,Alta,351.0,9.0,Si
Internacional,28.0,6.0,229.0,Negocios,Si,Media,1374.0,9.0,No
Nacional,48.0,4.0,120.0,Vacaciones,Si,Baja,480.0,6.0,Si
Internacional,51.0,9.0,191.0,Vacaciones,Si,Alta,1719.0,6.0,Si
Internacional,43.0,9.0,209.0,Vacaciones,No,Media,1881.0,4.0,Si
Internacional,47.0,8.0,247.0,Vacaciones,Si,Media,1976.0,7.0,Si
Internacional,48.0,7.0,156.0,Vacaciones,Si,Baja,1092.0,3.0,No
Nacional,25.0,5.0,113.0,Vacaciones,Si,Media,565.0,8.0,Si
Nacional,33.0,4.0,116.0,Vacaciones,Si,Media,464.0,7.0,No
Nacional,45.0,5.0,117.0,Vacaciones,Si,Alta,585.0,7.0,Si
Nacional,38.0,4.0,125.0,Negocios,Si,Alta,500.0,6.0,Si
Internacional,35.0,6.0,260.0,Vacaciones,Si,Media,1560.0,4.0,Si
Nacional,30.0,4.0,130.0,Vacaciones,Si,Media,520.0,7.0,No
Internacional,30.0,6.0,168.0,Vacaciones,Si,Media,1008.0,8.0,No
Nacional,30.0,3.0,165.0,Vacaciones,No,Baja,495.0,4.0,No
Internacional,40.0,9.0,173.0,Vacaciones,Si,Alta,1557.0,6.0,Si
Internacional,30.0,8.0,183.0,Vacaciones,Si,Alta,1464.0,8.0,Si
Internacional,28.0,7.0,213.0,Negocios,Si,Baja,1491.0,8.0,No
Internacional,32.0,6.0,209.0,Negocios,No,Media,1254.0,4.0,No
Nacional,55.0,5.0,91.0,Vacaciones,Si,Baja,455.0,5.0,Si
Nacional,29.0,3.0,106.0,Vacaciones,Si,Media,318.0,9.0,No
Internacional,26.0,7.0,207.0,Vacaciones,Si,Alta,1449.0,9.0,Si
Nacional,59.0,3.0,169.0,Negocios,Si,Baja,507.0,8.0,Si
Internacional,44.0,8.0,213.0,Vacaciones,Si,Alta,1704.0,5.0,Si
Internacional,41.0,7.0,158.0,Vacaciones,Si,Alta,1106.0,9.0,No
Internacional,47.0,8.0,184.0,Vacaciones,Si,Alta,1472.0,3.0,Si
Nacional,56.0,3.0,130.0,Vacaciones,Si,Baja,390.0,4.0,No
Internacional,28.0,9.0,142.0,Vacaciones,Si,Media,1278.0,3.0,Si
Nacional,29.0,4.0,137.0,Vacaciones,Si,Media,548.0,8.0,No
Nacional,38.0,4.0,117.0,Vacaciones,Si,Baja,468.0,3.0,No
Internacional,27.0,8.0,172.0,Vacaciones,Si,Alta,1376.0,8.0,Si
Nacional,43.0,4.0,99.0,Vacaciones,Si,Alta,396.0,8.0,No
Internacional,30.0,7.0,216.0,Vacaciones,Si,Alta,1512.0,4.0,Si
Nacional,56.0,3.0,95.0,Vacaciones,No,Media,285.0,4.0,No
Internacional,26.0,6.0,179.0,Vacaciones,Si,Media,1074.0,10.0,No
Internacional,36.0,7.0,189.0,Vacaciones,No,Media,1323.0,4.0,Si
Internacional,32.0,6.0,189.0,Vacaciones,No,Alta,1134.0,5.0,Si
Nacional,49.0,3.0,126.0,Vacaciones,Si,Baja,378.0,4.0,No
Internacional,35.0,5.0,193.0,Vacaciones,Si,Media,965.0,6.0,No
Nacional,37.0,3.0,130.0,Negocios,Si,Alta,390.0,3.0,Si
Nacional,59.0,4.0,132.0,Vacaciones,No,Media,528.0,6.0,Si
Nacional,44.0,6.0,120.0,Otro,Si,Media,720.0,5.0,No
Nacional,47.0,4.0,103.0,Vacaciones,Si,Media,412.0,7.0,No
Nacional,55.0,3.0,113.0,Vacaciones,No,Media,339.0,4.0,No
Internacional,41.0,6.0,216.0,Negocios,Si,Alta,1296.0,5.0,Si
Internacional,51.0,6.0,169.0,Vacaciones,No,Alta,1014.0,4.0,Si
Nacional,44.0,4.0,128.0,Vacaciones,No,Alta,512.0,6.0,Si
Nacional,60.0,4.0,132.0,Vacaciones,Si,Baja,528.0,5.0,No
Internacional,32.0,9.0,189.0,Vacaciones,Si,Media,1701.0,7.0,No
Internacional,31.0,8.0,277.0,Vacaciones,Si,Alta,2216.0,10.0,Si
Nacional,29.0,5.0,124.0,Negocios,Si,Alta,620.0,8.0,Si
Nacional,35.0,7.0,121.0,Vacaciones,Si,Media,847.0,9.0,No
Nacional,40.0,4.0,141.0,Vacaciones,No,Alta,564.0,6.0,Si
Internacional,41.0,9.0,208.0,Vacaciones,Si,Media,1872.0,3.0,Si
Internacional,57.0,6.0,244.0,Vacaciones,No,Alta,1464.0,5.0,Si
Nacional,38.0,5.0,132.0,Vacaciones,No,Alta,660.0,6.0,Si
Internacional,45.0,5.0,187.0,Vacaciones,Si,Media,935.0,3.0,Si
Nacional,36.0,4.0,105.0,Vacaciones,Si,Baja,420.0,6.0,Si
Internacional,48.0,6.0,211.0,Vacaciones,Si,Alta,1266.0,9.0,Si
Internacional,58.0,5.0,198.0,Vacaciones,No,Baja,990.0,6.0,Si
Nacional,39.0,4.0,111.0,Vacaciones,Si,Alta,444.0,4.0,Si
Internacional,39.0,9.0,249.0,Vacaciones,Si,Baja,2241.0,3.0,No
Nacional,43.0,3.0,107.0,Vacaciones,Si,Alta,321.0,5.0,Si
Nacional,34.0,3.0,145.0,Vacaciones,Si,Baja,435.0,3.0,No
Internacional,51.0,8.0,239.0,Vacaciones,Si,Alta,1912.0,6.0,Si
Internacional,58.0,7.0,186.0,Otro,No,Alta,1302.0,4.0,Si
Nacional,25.0,5.0,120.0,Vacaciones,No,Media,600.0,5.0,No
Nacional,26.0,5.0,114.0,Vacaciones,Si,Alta,570.0,4.0,Si
Nacional,57.0,3.0,134.0,Vacaciones,No,Media,402.0,5.0,Si
Nacional,45.0,2.0,102.0,Negocios,Si,Alta,204.0,3.0,Si
Internacional,30.0,8.0,217.0,Vacaciones,Si,Media,1736.0,5.0,Si
Internacional,39.0,7.0,195.0,Vacaciones,Si,Alta,1365.0,3.0,Si
Internacional,29.0,6.0,222.0,Vacaciones,Si,Media,1332.0,10.0,Si
Nacional,36.0,6.0,122.0,Vacaciones,Si,Media,732.0,8.0,No
Internacional,45.0,4.0,203.0,Vacaciones,Si,Alta,812.0,4.0,Si
